epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,80.7203,0.8484,1.2957,0.82866,1.01088,0,0.86363,0.64924,0.71242,0.53101,0.80235,0.59622,0.64739,0.42382,1.01591,1.58735,1.0137,1.01487,0,0.000915875,0.000915875,0.000915875
29,83.4689,0.85827,1.34392,0.8164,1.01258,0,0.8288,0.6647,0.71841,0.52136,0.76893,0.62468,0.6576,0.42275,1.02844,1.6578,1.01043,1.01908,0,0.0009035,0.0009035,0.0009035
30,86.2501,0.87251,1.3183,0.84147,1.00899,0,0.77103,0.66528,0.70958,0.50478,0.71597,0.62711,0.64516,0.38713,1.0351,1.75394,0.9949,1.01204,0,0.000891125,0.000891125,0.000891125
31,88.9707,0.83689,1.26626,0.8197,1.01524,0,0.81282,0.67828,0.75116,0.54938,0.75108,0.63156,0.67989,0.44158,1.00411,1.50105,0.92514,0.9894,0,0.00087875,0.00087875,0.00087875
32,91.8905,0.84686,1.20365,0.77929,0.99152,0,0.85121,0.66878,0.7496,0.53198,0.79203,0.61875,0.68204,0.44329,1.00788,1.47265,0.93299,1.00376,0,0.000866375,0.000866375,0.000866375
33,94.9052,0.84849,1.28792,0.82467,1.0054,0,0.84047,0.66486,0.75046,0.54652,0.77228,0.60929,0.65919,0.41868,0.99436,1.58816,0.94698,1.002,0,0.000854,0.000854,0.000854
34,97.8025,0.84173,1.18794,0.77179,0.98946,0,0.87014,0.66578,0.73673,0.55466,0.79587,0.61396,0.65861,0.42488,0.99441,1.61526,0.91758,0.98938,0,0.000841625,0.000841625,0.000841625
35,100.648,0.81656,1.23022,0.75536,0.9865,0,0.79349,0.69104,0.73851,0.5423,0.73495,0.64686,0.66495,0.42978,0.99435,1.57708,0.95098,0.97955,0,0.00082925,0.00082925,0.00082925
36,103.451,0.83156,1.24869,0.8075,1.01182,0,0.81461,0.69887,0.73972,0.55308,0.7538,0.64717,0.65688,0.43739,0.97151,1.48477,0.91483,0.97655,0,0.000816875,0.000816875,0.000816875
37,106.212,0.83706,1.26627,0.77226,0.99118,0,0.82819,0.72711,0.76579,0.55803,0.7698,0.68715,0.70075,0.4472,0.96085,1.4458,0.86404,0.9815,0,0.0008045,0.0008045,0.0008045
38,108.978,0.82332,1.18468,0.75375,0.99964,0,0.82492,0.69906,0.75263,0.54477,0.76982,0.66363,0.68615,0.45095,0.96328,1.47132,0.88932,0.96679,0,0.000792125,0.000792125,0.000792125
39,111.782,0.81315,1.15682,0.73762,0.97292,0,0.85235,0.66435,0.74092,0.54318,0.81659,0.63206,0.67941,0.44942,0.93272,1.48069,0.91782,0.9562,0,0.00077975,0.00077975,0.00077975
40,114.508,0.81351,1.15375,0.74094,0.9945,0,0.86024,0.69588,0.75711,0.56375,0.80124,0.63732,0.69327,0.45891,0.94407,1.51182,0.87696,0.97324,0,0.000767375,0.000767375,0.000767375
41,117.411,0.79746,1.17095,0.70662,0.96404,0,0.86407,0.66221,0.75375,0.56316,0.76955,0.65999,0.69207,0.46924,0.93152,1.54514,0.87054,0.97615,0,0.000755,0.000755,0.000755
42,120.21,0.77359,1.13625,0.70086,0.96487,0,0.86471,0.68793,0.7609,0.56842,0.8151,0.65218,0.69806,0.45569,0.94735,1.46692,0.87756,0.9813,0,0.000742625,0.000742625,0.000742625
43,123.039,0.781,1.16369,0.69908,0.97781,0,0.82963,0.72329,0.75739,0.58474,0.76441,0.69,0.68789,0.47848,0.91775,1.39656,0.83556,0.95175,0,0.00073025,0.00073025,0.00073025
